"REF_DATE","GEO","DGUID","Type of product","Type of storage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1970-04","Manitoba","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722362","5.3.1","62","","","","0"
"1970-04","Manitoba","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722370","5.4.1","63","","","","0"
"1970-04","Saskatchewan","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722347","6.1.1","1","","","","0"
"1970-04","Saskatchewan","","Onions","Cold and common storage","Tonnes","288","units ","0","v722355","6.2.1","72","","","","0"
"1970-04","Saskatchewan","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722363","6.3.1","28","","","","0"
"1970-04","Saskatchewan","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722371","6.4.1","34","","","","0"
"1970-04","Alberta","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722348","7.1.1","40","","","","0"
"1970-04","Alberta","","Onions","Cold and common storage","Tonnes","288","units ","0","v722356","7.2.1","122","","","","0"
"1970-04","Alberta","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722364","7.3.1","88","","","","0"
"1970-04","Alberta","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722372","7.4.1","63","","","","0"
"1970-04","British Columbia","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722349","8.1.1","7","","","","0"
"1970-04","British Columbia","","Onions","Cold and common storage","Tonnes","288","units ","0","v722357","8.2.1","505","","","","0"
"1970-04","British Columbia","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722365","8.3.1","192","","","","0"
"1970-04","British Columbia","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722373","8.4.1","74","","","","0"
"1970-05","Canada","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722342","1.1.1","367","","","","0"
"1970-05","Canada","","Onions","Cold and common storage","Tonnes","288","units ","0","v722350","1.2.1","2170","","","","0"
"1970-05","Canada","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722358","1.3.1","2387","","","","0"
"1970-05","Canada","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722366","1.4.1","635","","","","0"
"1970-05","Maritime provinces","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722343","2.1.1","278","","","","0"
"1970-05","Maritime provinces","","Onions","Cold and common storage","Tonnes","288","units ","0","v722351","2.2.1","68","","","","0"
"1970-05","Maritime provinces","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722359","2.3.1","85","","","","0"
"1970-05","Maritime provinces","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722367","2.4.1","39","","","","0"
"1970-05","Quebec","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722344","3.1.1","20","","","","0"
"1970-05","Quebec","","Onions","Cold and common storage","Tonnes","288","units ","0","v722352","3.2.1","420","","","","0"
"1970-05","Quebec","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722360","3.3.1","336","","","","0"
"1970-05","Quebec","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722368","3.4.1","200","","","","0"
"1970-05","Ontario","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722345","4.1.1","39","","","","0"
"1970-05","Ontario","","Onions","Cold and common storage","Tonnes","288","units ","0","v722353","4.2.1","666","","","","0"
"1970-05","Ontario","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722361","4.3.1","1633","","","","0"
"1970-05","Ontario","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722369","4.4.1","108","","","","0"
"1970-05","Manitoba","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722346","5.1.1","1","","","","0"
"1970-05","Manitoba","","Onions","Cold and common storage","Tonnes","288","units ","0","v722354","5.2.1","100","","","","0"
"1970-05","Manitoba","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722362","5.3.1","71","","","","0"
"1970-05","Manitoba","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722370","5.4.1","122","","","","0"
"1970-05","Saskatchewan","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722347","6.1.1","1","","","","0"
"1970-05","Saskatchewan","","Onions","Cold and common storage","Tonnes","288","units ","0","v722355","6.2.1","114","","","","0"
"1970-05","Saskatchewan","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722363","6.3.1","38","","","","0"
"1970-05","Saskatchewan","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722371","6.4.1","41","","","","0"
"1970-05","Alberta","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722348","7.1.1","26","","","","0"
"1970-05","Alberta","","Onions","Cold and common storage","Tonnes","288","units ","0","v722356","7.2.1","282","","","","0"
"1970-05","Alberta","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722364","7.3.1","88","","","","0"
"1970-05","Alberta","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722372","7.4.1","55","","","","0"
"1970-05","British Columbia","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722349","8.1.1","3","","","","0"
"1970-05","British Columbia","","Onions","Cold and common storage","Tonnes","288","units ","0","v722357","8.2.1","519","","","","0"
"1970-05","British Columbia","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722365","8.3.1","137","","","","0"
"1970-05","British Columbia","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722373","8.4.1","72","","","","0"
"1970-06","Canada","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722342","1.1.1","168","","","","0"
"1970-06","Canada","","Onions","Cold and common storage","Tonnes","288","units ","0","v722350","1.2.1","1126","","","","0"
"1970-06","Canada","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722358","1.3.1","1995","","","","0"
"1970-06","Canada","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722366","1.4.1","580","","","","0"
"1970-06","Maritime provinces","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722343","2.1.1","131","","","","0"
"1970-06","Maritime provinces","","Onions","Cold and common storage","Tonnes","288","units ","0","v722351","2.2.1","101","","","","0"
"1970-06","Maritime provinces","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722359","2.3.1","175","","","","0"
"1970-06","Maritime provinces","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722367","2.4.1","59","","","","0"
"1970-06","Quebec","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722344","3.1.1","8","","","","0"
"1970-06","Quebec","","Onions","Cold and common storage","Tonnes","288","units ","0","v722352","3.2.1","194","","","","0"
"1970-06","Quebec","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722360","3.3.1","183","","","","0"
"1970-06","Quebec","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722368","3.4.1","213","","","","0"
"1970-06","Ontario","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722345","4.1.1","20","","","","0"
"1970-06","Ontario","","Onions","Cold and common storage","Tonnes","288","units ","0","v722353","4.2.1","311","","","","0"
"1970-06","Ontario","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722361","4.3.1","1261","","","","0"
"1970-06","Ontario","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722369","4.4.1","72","","","","0"
"1970-06","Manitoba","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722346","5.1.1","1","","","","0"
"1970-06","Manitoba","","Onions","Cold and common storage","Tonnes","288","units ","0","v722354","5.2.1","49","","","","0"
"1970-06","Manitoba","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722362","5.3.1","113","","","","0"
"1970-06","Manitoba","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722370","5.4.1","40","","","","0"
"1970-06","Saskatchewan","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722347","6.1.1","1","","","","0"
"1970-06","Saskatchewan","","Onions","Cold and common storage","Tonnes","288","units ","0","v722355","6.2.1","76","","","","0"
"1970-06","Saskatchewan","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722363","6.3.1","32","","","","0"
"1970-06","Saskatchewan","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722371","6.4.1","25","","","","0"
"1970-06","Alberta","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722348","7.1.1","6","","","","0"
"1970-06","Alberta","","Onions","Cold and common storage","Tonnes","288","units ","0","v722356","7.2.1","116","","","","0"
"1970-06","Alberta","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722364","7.3.1","81","","","","0"
"1970-06","Alberta","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722372","7.4.1","53","","","","0"
"1970-06","British Columbia","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722349","8.1.1","2","","","","0"
"1970-06","British Columbia","","Onions","Cold and common storage","Tonnes","288","units ","0","v722357","8.2.1","280","","","","0"
"1970-06","British Columbia","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722365","8.3.1","151","","","","0"
"1970-06","British Columbia","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722373","8.4.1","118","","","","0"
"1970-07","Canada","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722342","1.1.1","0","","","","0"
"1970-07","Canada","","Onions","Cold and common storage","Tonnes","288","units ","0","v722350","1.2.1","0","","","","0"
"1970-07","Canada","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722358","1.3.1","0","","","","0"
"1970-07","Canada","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722366","1.4.1","0","","","","0"
"1970-07","Maritime provinces","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722343","2.1.1","0","","","","0"
"1970-07","Maritime provinces","","Onions","Cold and common storage","Tonnes","288","units ","0","v722351","2.2.1","0","","","","0"
"1970-07","Maritime provinces","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722359","2.3.1","0","","","","0"
"1970-07","Maritime provinces","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722367","2.4.1","0","","","","0"
"1970-07","Quebec","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722344","3.1.1","0","","","","0"
"1970-07","Quebec","","Onions","Cold and common storage","Tonnes","288","units ","0","v722352","3.2.1","0","","","","0"
"1970-07","Quebec","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722360","3.3.1","0","","","","0"
"1970-07","Quebec","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722368","3.4.1","0","","","","0"
"1970-07","Ontario","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722345","4.1.1","0","","","","0"
"1970-07","Ontario","","Onions","Cold and common storage","Tonnes","288","units ","0","v722353","4.2.1","0","","","","0"
"1970-07","Ontario","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722361","4.3.1","0","","","","0"
"1970-07","Ontario","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722369","4.4.1","0","","","","0"
"1970-07","Manitoba","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722346","5.1.1","0","","","","0"
"1970-07","Manitoba","","Onions","Cold and common storage","Tonnes","288","units ","0","v722354","5.2.1","0","","","","0"
"1970-07","Manitoba","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722362","5.3.1","0","","","","0"
"1970-07","Manitoba","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722370","5.4.1","0","","","","0"
"1970-07","Saskatchewan","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722347","6.1.1","0","","","","0"
"1970-07","Saskatchewan","","Onions","Cold and common storage","Tonnes","288","units ","0","v722355","6.2.1","0","","","","0"
"1970-07","Saskatchewan","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722363","6.3.1","0","","","","0"
"1970-07","Saskatchewan","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722371","6.4.1","0","","","","0"
"1970-07","Alberta","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722348","7.1.1","0","","","","0"
"1970-07","Alberta","","Onions","Cold and common storage","Tonnes","288","units ","0","v722356","7.2.1","0","","","","0"
"1970-07","Alberta","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722364","7.3.1","0","","","","0"
"1970-07","Alberta","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722372","7.4.1","0","","","","0"
"1970-07","British Columbia","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722349","8.1.1","0","","","","0"
"1970-07","British Columbia","","Onions","Cold and common storage","Tonnes","288","units ","0","v722357","8.2.1","0","","","","0"
"1970-07","British Columbia","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722365","8.3.1","0","","","","0"
"1970-07","British Columbia","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722373","8.4.1","0","","","","0"
"1970-08","Canada","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722342","1.1.1","0","","","","0"
"1970-08","Canada","","Onions","Cold and common storage","Tonnes","288","units ","0","v722350","1.2.1","0","","","","0"
"1970-08","Canada","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722358","1.3.1","0","","","","0"
"1970-08","Canada","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722366","1.4.1","0","","","","0"
"1970-08","Maritime provinces","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722343","2.1.1","0","","","","0"
"1970-08","Maritime provinces","","Onions","Cold and common storage","Tonnes","288","units ","0","v722351","2.2.1","0","","","","0"
"1970-08","Maritime provinces","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722359","2.3.1","0","","","","0"
"1970-08","Maritime provinces","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722367","2.4.1","0","","","","0"
"1970-08","Quebec","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722344","3.1.1","0","","","","0"
"1970-08","Quebec","","Onions","Cold and common storage","Tonnes","288","units ","0","v722352","3.2.1","0","","","","0"
"1970-08","Quebec","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722360","3.3.1","0","","","","0"
"1970-08","Quebec","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722368","3.4.1","0","","","","0"
"1970-08","Ontario","","Potatoes","Cold and common storage","Tonnes","288","units ","0","v722345","4.1.1","0","","","","0"
"1970-08","Ontario","","Onions","Cold and common storage","Tonnes","288","units ","0","v722353","4.2.1","0","","","","0"
"1970-08","Ontario","","Carrots","Cold and common storage","Tonnes","288","units ","0","v722361","4.3.1","0","","","","0"
"1970-08","Ontario","","Cabbage","Cold and common storage","Tonnes","288","units ","0","v722369","4.4.1","0","","","","0"
